t0,t1,n,m,N,dt_s,backend,edges
0,1,165,168,168,0.008965,scipy,155
1,2,168,169,169,0.008851,scipy,159
2,3,169,170,170,0.008894,scipy,155
3,4,170,169,170,0.009252,scipy,160
4,5,169,167,169,0.008768,scipy,157
5,6,167,167,167,0.008546,scipy,158
6,7,167,162,167,0.008420,scipy,156
7,8,162,166,166,0.008568,scipy,154
8,9,166,162,166,0.008188,scipy,155
9,10,162,166,166,0.008268,scipy,158
10,11,166,162,166,0.008211,scipy,157
11,12,162,167,167,0.008030,scipy,156
12,13,167,174,174,0.008821,scipy,161
13,14,174,171,174,0.008811,scipy,166
14,15,171,168,171,0.008579,scipy,158
15,16,168,167,168,0.008421,scipy,136
16,17,167,166,167,0.008394,scipy,155
17,18,166,167,167,0.008553,scipy,156
18,19,167,173,173,0.008612,scipy,155
19,20,173,170,173,0.008701,scipy,160
20,21,170,175,175,0.009133,scipy,161
21,22,175,175,175,0.008888,scipy,168
22,23,175,181,181,0.010035,scipy,172
23,24,181,181,181,0.011021,scipy,166
24,25,181,176,181,0.009462,scipy,166
25,26,176,180,180,0.009527,scipy,170
26,27,180,168,180,0.009292,scipy,163
27,28,168,175,175,0.009026,scipy,163
28,29,175,185,185,0.010028,scipy,168
29,30,185,184,185,0.010204,scipy,174
30,31,184,177,184,0.013319,scipy,171
31,32,177,188,188,0.014739,scipy,167
32,33,188,187,188,0.014731,scipy,170
33,34,187,189,189,0.013816,scipy,172
34,35,189,185,189,0.010200,scipy,170
35,36,185,195,195,0.010933,scipy,178
36,37,195,184,195,0.010510,scipy,178
37,38,184,183,184,0.010301,scipy,173
38,39,183,185,185,0.010188,scipy,172
39,40,185,179,185,0.010020,scipy,170
40,41,179,182,182,0.010079,scipy,171
41,42,182,181,182,0.010024,scipy,168
42,43,181,188,188,0.010452,scipy,172
43,44,188,187,188,0.012051,scipy,176
44,45,187,190,190,0.012249,scipy,179
45,46,190,191,191,0.012317,scipy,175
46,47,191,189,191,0.011781,scipy,160
47,48,189,192,192,0.010885,scipy,138
48,49,192,190,192,0.011107,scipy,181
49,50,190,185,190,0.010928,scipy,173
50,51,185,197,197,0.012073,scipy,52
51,52,197,196,197,0.012748,scipy,178
52,53,196,203,203,0.015187,scipy,188
53,54,203,198,203,0.012420,scipy,189
54,55,198,207,207,0.012539,scipy,190
55,56,207,196,207,0.012340,scipy,192
56,57,196,204,204,0.012684,scipy,190
57,58,204,194,204,0.011829,scipy,186
58,59,194,199,199,0.011912,scipy,188
59,60,199,200,200,0.011990,scipy,187
60,61,200,206,206,0.012066,scipy,191
61,62,206,204,206,0.012588,scipy,195
62,63,204,202,204,0.014685,scipy,186
63,64,202,197,202,0.012080,scipy,187
64,65,197,198,198,0.012361,scipy,184
65,66,198,202,202,0.012359,scipy,185
66,67,202,198,202,0.012245,scipy,187
67,68,198,201,201,0.012494,scipy,187
68,69,201,202,202,0.012852,scipy,192
69,70,202,199,202,0.012328,scipy,186
70,71,199,200,200,0.012694,scipy,184
71,72,200,196,200,0.012222,scipy,183
72,73,196,200,200,0.012247,scipy,187
73,74,200,199,200,0.012284,scipy,188
74,75,199,197,199,0.012726,scipy,187
75,76,197,200,200,0.012263,scipy,189
76,77,200,206,206,0.016881,scipy,188
77,78,206,208,208,0.019501,scipy,195
78,79,208,206,208,0.013148,scipy,192
79,80,206,199,206,0.012923,scipy,189
80,81,199,201,201,0.012306,scipy,186
81,82,201,201,201,0.012109,scipy,187
82,83,201,201,201,0.011881,scipy,189
83,84,201,203,203,0.012173,scipy,192
84,85,203,205,205,0.012141,scipy,194
85,86,205,209,209,0.012960,scipy,197
86,87,209,212,212,0.013092,scipy,199
87,88,212,210,212,0.013587,scipy,196
88,89,210,211,211,0.014079,scipy,200
89,90,211,202,211,0.013744,scipy,197
90,91,202,202,202,0.012576,scipy,193
91,92,202,197,202,0.012017,scipy,189
92,93,197,199,199,0.011849,scipy,186
93,94,199,191,199,0.011500,scipy,187
94,95,191,194,194,0.011313,scipy,181
95,96,194,192,194,0.011541,scipy,182
96,97,192,194,194,0.012092,scipy,183
97,98,194,190,194,0.011114,scipy,178
98,99,190,191,191,0.011336,scipy,183
