t0,t1,n,m,N,dt_s,backend,edges
0,1,51,51,51,0.008107,pure,46
1,2,51,54,54,0.002142,pure,49
2,3,54,51,54,0.002840,pure,50
3,4,51,51,51,0.004301,pure,48
4,5,51,51,51,0.001121,pure,51
5,6,51,55,55,0.002016,pure,50
6,7,55,58,58,0.002083,pure,54
7,8,58,53,58,0.001472,pure,53
8,9,53,48,53,0.006711,pure,28
9,10,48,55,55,0.002068,pure,46
10,11,55,52,55,0.001313,pure,52
11,12,52,52,52,0.005767,pure,51
12,13,52,52,52,0.001279,pure,52
13,14,52,50,52,0.003124,pure,45
14,15,50,53,53,0.003057,pure,49
15,16,53,52,53,0.001451,pure,49
16,17,52,46,52,0.001751,pure,42
17,18,46,49,49,0.001832,pure,42
18,19,49,45,49,0.004769,pure,45
19,20,45,43,45,0.000928,pure,43
20,21,43,44,44,0.000842,pure,43
21,22,44,41,44,0.000852,pure,41
22,23,41,43,43,0.001180,pure,40
23,24,43,44,44,0.001059,pure,40
24,25,44,45,45,0.003964,pure,41
25,26,45,43,45,0.000860,pure,43
26,27,43,47,47,0.001456,pure,42
27,28,47,47,47,0.000912,pure,47
28,29,47,47,47,0.002712,pure,43
29,30,47,43,47,0.001167,pure,42
30,31,43,43,43,0.000921,pure,40
31,32,43,47,47,0.001660,pure,42
32,33,47,43,47,0.000908,pure,43
33,34,43,43,43,0.000980,pure,41
34,35,43,45,45,0.001019,pure,43
35,36,45,44,45,0.000843,pure,44
36,37,44,47,47,0.002663,pure,43
37,38,47,49,49,0.002819,pure,38
38,39,49,45,49,0.002693,pure,42
39,40,45,44,45,0.001069,pure,42
40,41,44,45,45,0.001128,pure,43
41,42,45,48,48,0.001317,pure,44
42,43,48,48,48,0.000989,pure,48
43,44,48,48,48,0.001808,pure,43
44,45,48,47,48,0.004600,pure,44
45,46,47,46,47,0.002290,pure,44
46,47,46,46,46,0.003740,pure,41
47,48,46,46,46,0.005344,pure,43
48,49,46,49,49,0.001734,pure,44
49,50,49,48,49,0.001553,pure,44
50,51,48,50,50,0.001962,pure,44
51,52,50,48,50,0.003493,pure,43
52,53,48,48,48,0.001012,pure,48
53,54,48,53,53,0.005020,pure,27
54,55,53,52,53,0.007915,pure,48
55,56,52,50,52,0.001429,pure,49
56,57,50,48,50,0.001580,pure,45
57,58,48,48,48,0.001005,pure,48
58,59,48,49,49,0.001755,pure,41
59,60,49,49,49,0.001104,pure,49
60,61,49,51,51,0.004324,pure,30
61,62,51,49,51,0.001350,pure,48
62,63,49,49,49,0.001152,pure,49
63,64,49,51,51,0.008012,pure,34
64,65,51,49,51,0.003625,pure,32
65,66,49,48,49,0.004114,pure,42
66,67,48,48,48,0.001000,pure,48
67,68,48,49,49,0.003350,pure,42
68,69,49,47,49,0.001275,pure,46
69,70,47,44,47,0.002238,pure,36
70,71,44,47,47,0.003533,pure,33
71,72,47,49,49,0.002198,pure,35
72,73,49,52,52,0.001946,pure,47
73,74,52,49,52,0.001402,pure,48
74,75,49,45,49,0.001225,pure,44
75,76,45,42,45,0.001037,pure,39
76,77,42,42,42,0.000794,pure,42
77,78,42,47,47,0.002133,pure,34
78,79,47,49,49,0.001768,pure,44
79,80,49,47,49,0.001154,pure,45
80,81,47,47,47,0.003873,pure,42
81,82,47,45,47,0.001542,pure,42
82,83,45,49,49,0.002239,pure,42
83,84,49,44,49,0.001380,pure,43
84,85,44,48,48,0.001941,pure,40
85,86,48,46,48,0.001686,pure,41
86,87,46,48,48,0.001240,pure,46
87,88,48,44,48,0.003206,pure,43
88,89,44,45,45,0.001730,pure,38
89,90,45,46,46,0.001425,pure,41
90,91,46,42,46,0.001575,pure,36
91,92,42,39,42,0.001391,pure,30
92,93,39,40,40,0.001143,pure,35
93,94,40,44,44,0.001349,pure,36
94,95,44,43,44,0.001409,pure,39
95,96,43,40,43,0.001046,pure,38
96,97,40,44,44,0.001892,pure,35
97,98,44,41,44,0.000909,pure,39
98,99,41,42,42,0.000921,pure,40
