t0,t1,n,m,N,dt_s,backend,edges
0,1,63,68,68,0.001507,scipy,60
1,2,68,70,70,0.001568,scipy,61
2,3,70,69,70,0.001566,scipy,66
3,4,69,68,69,0.001589,scipy,62
4,5,68,68,68,0.001456,scipy,68
5,6,68,64,68,0.001397,scipy,58
6,7,64,67,67,0.001388,scipy,62
7,8,67,71,71,0.001438,scipy,65
8,9,71,63,71,0.001434,scipy,41
9,10,63,65,65,0.001271,scipy,55
10,11,65,66,66,0.001372,scipy,61
11,12,66,69,69,0.001516,scipy,62
12,13,69,69,69,0.001452,scipy,69
13,14,69,68,69,0.001355,scipy,60
14,15,68,65,68,0.001356,scipy,63
15,16,65,66,66,0.001302,scipy,61
16,17,66,70,70,0.001369,scipy,54
17,18,70,64,70,0.001459,scipy,61
18,19,64,64,64,0.001299,scipy,59
19,20,64,62,64,0.001191,scipy,59
20,21,62,62,62,0.001259,scipy,59
21,22,62,58,62,0.001210,scipy,57
22,23,58,61,61,0.001151,scipy,56
23,24,61,62,62,0.001211,scipy,54
24,25,62,64,64,0.001271,scipy,59
25,26,64,54,64,0.001159,scipy,54
26,27,54,59,59,0.003112,pure,51
27,28,59,59,59,0.001483,pure,59
28,29,59,56,59,0.005843,pure,49
29,30,56,55,56,0.003065,pure,52
30,31,55,54,55,0.001359,pure,53
31,32,54,61,61,0.001150,scipy,53
32,33,61,58,61,0.001165,scipy,56
33,34,58,55,58,0.001833,pure,53
34,35,55,54,55,0.003636,pure,53
35,36,54,54,54,0.001692,pure,51
36,37,54,54,54,0.009537,pure,50
37,38,54,63,63,0.001205,scipy,49
38,39,63,56,63,0.001140,scipy,54
39,40,56,58,58,0.002022,pure,55
40,41,58,61,61,0.001148,scipy,55
41,42,61,64,64,0.001292,scipy,59
42,43,64,64,64,0.001309,scipy,64
43,44,64,67,67,0.001416,scipy,57
44,45,67,65,67,0.001403,scipy,63
45,46,65,61,65,0.001294,scipy,58
46,47,61,68,68,0.001366,scipy,59
47,48,68,64,68,0.001381,scipy,61
48,49,64,64,64,0.001342,scipy,59
49,50,64,63,64,0.001305,scipy,55
50,51,63,64,64,0.001290,scipy,56
51,52,64,65,65,0.001310,scipy,59
52,53,65,65,65,0.001353,scipy,65
53,54,65,71,71,0.001497,scipy,48
54,55,71,70,71,0.002084,scipy,67
55,56,70,64,70,0.001595,scipy,63
56,57,64,70,70,0.001522,scipy,59
57,58,70,70,70,0.001513,scipy,70
58,59,70,61,70,0.001433,scipy,55
59,60,61,61,61,0.001189,scipy,61
60,61,61,64,64,0.001226,scipy,42
61,62,64,65,65,0.001288,scipy,60
62,63,65,65,65,0.001374,scipy,65
63,64,65,62,65,0.001313,scipy,44
64,65,62,64,64,0.001284,scipy,40
65,66,64,65,65,0.001372,scipy,59
66,67,65,65,65,0.001389,scipy,65
67,68,65,58,65,0.001388,scipy,50
68,69,58,59,59,0.002220,pure,53
69,70,59,64,64,0.001210,scipy,53
70,71,64,72,72,0.001543,scipy,56
71,72,72,64,72,0.001522,scipy,58
72,73,64,66,66,0.001372,scipy,59
73,74,66,64,66,0.001370,scipy,57
74,75,64,63,64,0.001215,scipy,57
75,76,63,64,64,0.001227,scipy,60
76,77,64,64,64,0.001286,scipy,64
77,78,64,66,66,0.001394,scipy,57
78,79,66,60,66,0.001302,scipy,59
79,80,60,61,61,0.001295,scipy,55
80,81,61,62,62,0.001235,scipy,56
81,82,62,64,64,0.001284,scipy,56
82,83,64,65,65,0.001350,scipy,59
83,84,65,63,65,0.001341,scipy,59
84,85,63,61,63,0.001256,scipy,59
85,86,61,60,61,0.001178,scipy,55
86,87,60,62,62,0.001233,scipy,55
87,88,62,57,62,0.001115,scipy,54
88,89,57,60,60,0.002155,pure,54
89,90,60,59,60,0.002966,pure,53
90,91,59,61,61,0.001235,scipy,51
91,92,61,54,61,0.001091,scipy,48
92,93,54,52,54,0.001644,pure,49
93,94,52,61,61,0.001036,scipy,48
94,95,61,59,61,0.001117,scipy,55
95,96,59,59,59,0.003259,pure,55
96,97,59,58,59,0.003078,pure,54
97,98,58,61,61,0.001129,scipy,57
98,99,61,61,61,0.001179,scipy,56
